polled_at_utc,station_id,num_bikes_available,num_docks_available,is_renting,is_returning,is_installed,last_reported
2026-09-18T00:23:31+00:00,6026,12,21,True,True,True,1789691002
2026-09-18T00:23:31+00:00,5431,6,14,True,True,True,1789691002
2026-09-18T00:23:31+00:00,5424,2,15,True,True,True,1789691002
2026-09-18T00:23:31+00:00,5220,0,20,True,True,True,1789691002
2026-09-18T00:23:31+00:00,5217,8,21,True,True,True,1789691002
2026-09-18T00:23:31+00:00,5113,11,2,True,True,True,1789691002
2026-09-18T00:23:31+00:00,4683,4,17,True,True,True,1789691002
2026-09-18T00:23:31+00:00,4552,8,10,True,True,True,1789691002
2026-09-18T00:23:31+00:00,3725,0,17,True,True,True,1789691002
2026-09-18T00:23:31+00:00,2358,9,3,True,True,True,1789691002
2026-09-18T00:23:31+00:00,2357,16,7,True,True,True,1789691002
2026-09-18T00:23:31+00:00,2355,3,9,True,True,True,1789691002
2026-09-18T00:23:31+00:00,2351,1,16,True,True,True,1789691002
2026-09-18T00:23:31+00:00,2350,0,24,True,True,True,1789691002
2026-09-18T00:23:31+00:00,2349,10,11,True,True,True,1789691002
2026-09-18T00:23:31+00:00,2347,15,14,True,True,True,1789691002
2026-09-18T00:23:31+00:00,2340,6,15,True,True,True,1789691002
2026-09-18T00:23:31+00:00,2339,5,24,True,True,True,1789691002
2026-09-18T00:23:31+00:00,2337,5,9,True,True,True,1789691002
2026-09-18T00:23:31+00:00,2334,0,12,True,True,True,1789691002
2026-09-18T00:23:31+00:00,2333,0,15,True,True,True,1789691002
2026-09-18T00:23:31+00:00,2332,0,12,True,True,True,1789691002
2026-09-18T00:23:31+00:00,2330,8,4,True,True,True,1789691002
2026-09-18T00:23:31+00:00,2329,9,6,True,True,True,1789691002
2026-09-18T00:23:31+00:00,2328,3,17,True,True,True,1789691002
2026-09-18T00:23:31+00:00,2315,6,12,True,True,True,1789691002
2026-09-18T00:23:31+00:00,2308,4,3,True,True,True,1789691002
2026-09-18T00:23:31+00:00,2307,0,29,True,True,True,1789691002
2026-09-18T00:23:31+00:00,2306,1,16,True,True,True,1789691002
