station_id,name,lat,lon,capacity
6026,Østbanehallen,59.910499184043516,10.750505532434318,35
5431,NRK,59.933349714027514,10.71960326747913,21
5424,Makrellbekken T,59.94190336268767,10.674100664853142,18
5220,Blindern vgs,59.9499087772916,10.730185223294967,20
5217,Egertorget,59.9126744968093,10.742025127034452,30
5113,Leirfallsgata,59.919114923856284,10.757830546598228,15
4683,Valle Vision,59.91606483663281,10.807177606311825,21
4552,Bryn Brannstasjon,59.91270214297066,10.813812726778053,18
3725,Vestre Aker Kirke,59.936006155097004,10.73190903696522,19
2358,Aker Brygge 3 mot Fergene,59.91084649016395,10.729732454567795,14
2357,Aker Brygge 2 mot Rådhusplassen,59.91113081194453,10.730409170393784,24
2355,Økern T-bane,59.928894918817605,10.806234776281599,12
2351,Sogn Studentby,59.95208441268443,10.727852791011173,18
2350,Blindern T-Bane,59.940228559500554,10.716552385179028,25
2349,Maritimt Museum,59.90291159389537,10.698019009343994,21
2347,Huk 2,59.89843953196814,10.674396692263628,30
2340,Tiedemannsparken,59.92024767905539,10.793540704010042,25
2339,Elgsletta,59.91564920880896,10.761724502548105,30
2337,Universitetsgata,59.91591543378553,10.737834990277321,15
2334,Nybrua holdeplass,59.916544926082935,10.757428972017067,12
2333,Akerselvallmenningen,59.90725889890288,10.754884663589621,15
2332,Krohgstøtten hospital,59.91629601075576,10.757376666842816,12
2330,Stjerneplassen,59.91323316606503,10.749958763650312,15
2329,Via Vika,59.91271286014364,10.727170827087008,15
2328,The Hub,59.912471643428546,10.750847496059066,21
2315,Rostockgata,59.90691970255054,10.760311802881915,18
2308,Gunerius,59.91459878869395,10.753398500006654,12
2307,Domus Athletica,59.946219381760216,10.724626314653563,30
2306,Økern Portal,59.930903961728745,10.80193969590286,18
2305,Hesselbergs Gate,59.927777943193746,10.761256419316368,15
2304,Hedmarksgata,59.91178403655783,10.783884345957915,18
2280,Klingenberggata,59.913150534075015,10.732281291700133,15
2270,Lørenporten,59.928710966693274,10.799914801820819,20
1919,Kværnerveien,59.90591104488692,10.778658835781357,6
1755,Aker Brygge 1 mot Nasjonalmuseet,59.91119901776625,10.73008965925888,33
1101,Stortingstunnelen,59.91065301806209,10.737365277561025,24
1023,Professor Aschehougs plass,59.9147672,10.740971,15
1009,Borgenveien,59.942742106473666,10.703833031254021,10
970,Enerhaugen,59.91320242563816,10.767579386407874,25
787,Kirkegata 15,59.91015615055511,10.743456971511705,12
627,Skøyen Stasjon,59.922723981014094,10.67862514536896,30
623,7. juni-plassen,59.915079772688216,10.730589336669283,21
624,Dælenenggata,59.9287502718149,10.767546377298158,20
626,Drammensveien,59.9204038,10.691147,24
614,Sinsen T-bane,59.938863086921295,10.780603250331886,24
616,Salt,59.906922167198275,10.746530272588245,15
618,Bak Niels Treschows hus sør,59.94247260310697,10.723715245368956,42
621,Torshovdalen øst,59.93285662158759,10.777633472422016,27
622,Pilestredet 63,59.9238826,10.7313627,30
613,Schives gate,59.92095635370271,10.714055629614734,27
620,Bislettgata,59.92377440938114,10.734712874574,40
596,Idioten,59.931020132184614,10.736036647971048,18
617,Bjerregaardsgate Øst,59.92716771401357,10.749754560118863,21
609,Fred Olsens gate,59.911097523090575,10.749409191256262,27
607,Marcus Thranes gate,59.93277225626508,10.758594919923468,30
603,Frogner plass,59.9225392,10.7045406,18
590,Majorstua skole,59.9294351,10.7136816,40
610,Sotahjørnet,59.9099822,10.7914482,20
608,Colletts gate,59.93068679863987,10.746273349149249,21
593,Bjølsen mølle,59.9392403070359,10.768771317790996,30
530,Holbergs plass,59.9193095,10.7343051,10
463,Schous plass trikkestopp,59.9207284,10.7594857,20
475,Hausmanns bru,59.9146509,10.7598719,24
439,Mølleparken,59.9283928,10.7559693,25
600,Dyvekes bru,59.905323,10.7689579,12
440,Lakkegata,59.9172088,10.7622135,18
612,Ensjøveien,59.91662195885618,10.783309055819714,19
